modo,repeticao,checksum_produzido,checksum_consumido,diferenca,duplicados,nao_escritos,tempo_ms
none,1,50005000,58219967,8214967,4240,0,76.99
none,2,50005000,51241499,1236499,3575,0,84.174
none,3,50005000,50731619,726619,3560,0,88.017
none,4,50005000,50821768,816768,3633,0,86.479
none,5,50005000,50293940,288940,3508,0,86.038
none,6,50005000,50371570,366570,3469,0,84.447
none,7,50005000,49147505,-857495,3638,0,82.403
none,8,50005000,51593323,1588323,3561,0,93.8
none,9,50005000,51281903,1276903,3579,0,81.548
none,10,50005000,51048967,1043967,3482,0,81.819
none,11,50005000,50791432,786432,3486,0,84.213
none,12,50005000,50993401,988401,3553,0,82.217
none,13,50005000,50002844,-2156,3564,0,86.325
none,14,50005000,55086202,5081202,3951,0,84.851
none,15,50005000,52507288,2502288,3814,0,88.897
none,16,50005000,51606681,1601681,3617,0,86.809
none,17,50005000,50730770,725770,3550,0,83.699
none,18,50005000,53029499,3024499,3680,0,83.495
none,19,50005000,50048402,43402,3604,0,83.949
none,20,50005000,51280840,1275840,3570,0,85.354
none,21,50005000,50561377,556377,3530,0,85.442
none,22,50005000,50025886,20886,3607,0,82.474
none,23,50005000,50073755,68755,3619,0,96.698
none,24,50005000,52143808,2138808,3518,0,84.499
none,25,50005000,51545569,1540569,3644,0,83.774
none,26,50005000,51968703,1963703,3680,0,85.286
none,27,50005000,51772184,1767184,3570,0,83.564
none,28,50005000,49971246,-33754,3597,0,84.066
none,29,50005000,51240267,1235267,3521,0,83.695
none,30,50005000,53037883,3032883,3690,0,83.641
counting,1,50005000,50067222,62222,2834,0,220.639
counting,2,50005000,50275020,270020,2805,0,376.668
counting,3,50005000,49975882,-29118,2775,0,521.517
counting,4,50005000,49854401,-150599,2801,0,583.034
counting,5,50005000,50055461,50461,2855,0,438.467
counting,6,50005000,50098829,93829,2774,0,451.859
counting,7,50005000,49681264,-323736,2770,0,389.19
counting,8,50005000,49956462,-48538,2756,0,243.357
counting,9,50005000,50097753,92753,2764,0,213.515
counting,10,50005000,50165073,160073,2804,0,218.157
counting,11,50005000,49868593,-136407,2795,0,219.341
counting,12,50005000,49864828,-140172,2810,0,216.049
counting,13,50005000,50085043,80043,2808,0,213.212
counting,14,50005000,50078744,73744,2789,0,208.77
counting,15,50005000,49904490,-100510,2832,0,214.19
counting,16,50005000,50330886,325886,2799,0,210.452
counting,17,50005000,49999629,-5371,2759,0,217.386
counting,18,50005000,49698615,-306385,2747,0,214.1
counting,19,50005000,50284899,279899,2870,0,236.436
counting,20,50005000,49784462,-220538,2821,0,215.782
counting,21,50005000,49855680,-149320,2707,0,212.845
counting,22,50005000,49931523,-73477,2822,0,218.477
counting,23,50005000,49770043,-234957,2747,0,209.453
counting,24,50005000,49761177,-243823,2740,0,209.161
counting,25,50005000,49853669,-151331,2849,0,215.932
counting,26,50005000,49722608,-282392,2863,0,222.237
counting,27,50005000,49881993,-123007,2725,0,211.898
counting,28,50005000,49808080,-196920,2786,0,212.318
counting,29,50005000,50344769,339769,2741,0,213.204
counting,30,50005000,49903668,-101332,2830,0,216.812
full,1,50005000,50005000,0,0,0,428.843
full,2,50005000,50005000,0,0,0,430.989
full,3,50005000,50005000,0,0,0,438.334
full,4,50005000,50005000,0,0,0,419.041
full,5,50005000,50005000,0,0,0,436.622
full,6,50005000,50005000,0,0,0,420.906
full,7,50005000,50005000,0,0,0,449.549
full,8,50005000,50005000,0,0,0,459.914
full,9,50005000,50005000,0,0,0,430.111
full,10,50005000,50005000,0,0,0,434.502
full,11,50005000,50005000,0,0,0,432.408
full,12,50005000,50005000,0,0,0,433.91
full,13,50005000,50005000,0,0,0,422.69
full,14,50005000,50005000,0,0,0,427.711
full,15,50005000,50005000,0,0,0,417.704
full,16,50005000,50005000,0,0,0,430.378
full,17,50005000,50005000,0,0,0,432.367
full,18,50005000,50005000,0,0,0,451.968
full,19,50005000,50005000,0,0,0,430.408
full,20,50005000,50005000,0,0,0,422.307
full,21,50005000,50005000,0,0,0,429.293
full,22,50005000,50005000,0,0,0,422.615
full,23,50005000,50005000,0,0,0,427.392
full,24,50005000,50005000,0,0,0,423.531
full,25,50005000,50005000,0,0,0,428.217
full,26,50005000,50005000,0,0,0,425.792
full,27,50005000,50005000,0,0,0,434.372
full,28,50005000,50005000,0,0,0,433.77
full,29,50005000,50005000,0,0,0,424.062
full,30,50005000,50005000,0,0,0,426.055
